name,Z1▶Make,Z1▶Miss,Z2▶Make,Z2▶Miss,Z3▶Make,Z3▶Miss,Z4▶Make,Z4▶Miss,Z5▶Make,Z5▶Miss,Z6▶Make,Z6▶Miss,Z7▶Make,Z7▶Miss,Z8▶Make,Z8▶Miss,Z9▶Make,Z9▶Miss
Offense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2 Matt Coleman,9,13,25,29,11,27,7,8,14,27,12,27,23,17,25,15,13,8
#33 Kamaka Hepa,3,4,4,19,7,9,0,0,0,0,0,2,2,0,5,3,1,0
#20 Jericho Sims,0,0,0,0,0,0,1,0,6,11,4,7,9,2,57,20,24,9
#0 Gerald Liddell,1,2,3,5,0,1,0,2,3,3,0,7,5,4,9,6,4,6
#22 Kai Jones,1,4,5,10,1,2,0,0,1,6,1,4,10,3,16,5,3,3
#5 Royce Hamm,0,2,0,4,0,0,1,1,4,5,3,1,2,4,15,7,4,7
#3 Courtney Ramey,2,24,22,39,16,27,3,6,11,22,12,16,26,18,20,28,16,8
#1 Andrew Jones,19,29,28,33,15,35,5,10,12,24,2,15,23,12,18,17,5,6
#50 Will Baker,0,4,4,24,2,5,0,0,1,7,0,2,1,0,8,8,3,1
#13 Jase Febres,18,27,22,44,15,22,1,3,3,11,2,2,3,3,4,4,2,2
#30 Brock Cunningham,0,3,2,7,2,3,0,0,0,0,0,0,1,2,1,0,2,1
#14 Drayton Whiteside,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#4 Donovan Williams,2,8,4,13,4,9,1,3,3,12,0,3,7,2,6,2,5,2
