Team,Conf,Adjusted_Tempo,Adjusted_Tempo_Rank,Raw_Tempo,Raw_Tempo_Rank,Offense_Avg_Poss_Length,Offense_Avg_Poss_Length_Rank,Defense_Avg_Poss_Length,Defense_Avg_Poss_Length_Rank,Adj_OER,Adj_OER_Rank,Raw_OER,Raw_OER_Rank,Adj_DER,Adj_DER_Rank,Raw_DER,Raw_DER_Rank
Mississippi Valley St.,SWAC,77.1,1,78.9,1,15.8,23,14.9,1,89.8,345,86.7,349,117.6,349,112.7,343
Houston Baptist,Slnd,76.1,2,77.9,2,14.9,3,16.1,4,102.9,175,102.5,140,122.3,352,120,352
Marshall,CUSA,74.9,3,75.2,7,14.8,2,17.2,112,101.2,199,100.1,193,99.1,106,97.8,107
Alabama,SEC,74.8,4,76.1,4,15.2,6,16.5,18,111,37,106,71,99.5,114,102.2,221
Delaware St.,MEAC,74.7,5,76.2,3,15.4,11,16.3,12,94.1,323,94.7,310,117.2,347,109.6,329
Eastern Kentucky,OVC,74.5,6,75.6,6,15.9,30,16,2,95.4,297,95.7,287,104.9,230,101.7,202
Green Bay,Horz,74,7,74.2,14,14.5,1,18.1,292,105.8,109,105.4,79,110.5,319,107.9,317
Buffalo,MAC,73.9,8,74.6,8,14.9,4,17.4,160,104.1,151,103.3,123,102.3,175,101,187
North Carolina A&T,MEAC,73.7,9,74.6,9,16.2,39,16.1,5,92.3,335,93.3,323,102.4,177,96.6,83
The Citadel,SC,73.7,10,74.3,13,16.1,36,16.5,20,94.9,305,94.2,317,112.2,328,111.7,340
Central Michigan,MAC,73.6,11,74.4,11,15.7,18,16.7,34,102,187,100.8,175,106.4,264,105.4,283
Coppin St.,MEAC,73.4,12,74.4,10,15.5,14,17,72,89.6,346,90.5,342,105.3,240,99.2,143
San Jose St.,MWC,73.3,13,74,19,16.4,58,16.2,8,97.5,262,93.2,324,107.8,289,110.5,335
Arizona St.,P12,73.2,14,73.6,23,15.9,29,16.8,44,106,108,100.1,191,94.7,49,96.1,64
Central Arkansas,Slnd,73.2,15,75.9,5,15.9,26,16,3,98,256,96.4,273,107.6,285,107.1,310
Nebraska,B10,73.1,16,72.8,33,15.2,5,17.8,241,102,190,94.3,316,101.3,152,105.5,287
South Carolina,SEC,73.1,17,72.5,37,15.4,9,17.9,255,105.4,122,100.8,176,94.7,50,95.4,54
Eastern Washington,BSky,73.1,18,73.6,24,15.3,7,17.5,178,105.4,120,105,88,101.1,142,99.7,156
Georgia St.,SB,73,19,73.7,21,15.8,24,17,78,105.6,115,104.1,107,101.4,156,99.9,162
Bethune Cookman,MEAC,73,20,74,18,15.8,21,16.9,53,95.4,298,96.6,267,105.8,254,98.3,122
St. John's,BE,72.9,21,74.1,16,15.6,16,16.9,59,106.1,104,100.4,183,95.2,53,96.9,91
Texas Southern,SWAC,72.9,22,74.4,12,16.2,41,16.7,32,99.1,237,96.7,264,108.6,304,102.2,220
LIU,NEC,72.8,23,73.3,26,16.2,43,16.8,49,97.4,265,100,195,106.1,259,103.1,241
UTSA,CUSA,72.8,24,73,30,16.3,48,16.8,37,104.2,149,101.2,168,108,293,106.1,296
Samford,SC,72.8,25,74,17,16.1,35,16.8,43,98.6,245,97.5,244,112.6,332,113.2,345
Coastal Carolina,SB,72.8,26,73.3,27,16.5,60,16.5,17,104.8,134,103.6,112,106.2,261,104.5,270
Monmouth,MAAC,72.6,27,72,44,15.7,19,17.8,235,99.1,238,98.5,222,101.8,162,97.3,101
Memphis,Amer,72.6,28,73.1,29,15.7,17,17.2,118,100.6,210,97.4,250,89.1,5,88.5,2
Northwestern St.,Slnd,72.4,29,74.1,15,16.4,57,16.1,6,98.3,251,100.1,192,107.1,278,104.1,265
FIU,CUSA,72.2,30,72.5,38,15.4,10,17.8,245,103.7,157,102.1,149,102.1,170,99.8,159
Wright St.,Horz,72.1,31,73.1,28,15.8,20,17.2,104,104.9,132,107.9,39,101.4,157,96.2,71
James Madison,CAA,72.1,32,71.6,57,15.9,27,17.7,220,99.5,230,99.1,210,111.6,323,108.5,324
Southeastern Louisiana,Slnd,72.1,33,73.9,20,16,33,16.9,60,92,338,92.2,332,109.6,312,106.3,300
Duke,ACC,72,34,72.8,31,16.3,47,16.8,36,115.7,9,111.9,6,91.1,12,91.4,11
Gonzaga,WCC,71.9,35,72.6,36,15.4,8,17.9,254,121.3,1,120.1,1,94.4,43,93.3,23
Winthrop,BSth,71.9,36,71.7,55,15.5,13,18.2,309,104.7,136,108.9,26,102.1,169,98.3,125
Louisiana,SB,71.8,37,72.4,39,16.9,102,16.7,30,101.3,196,99.5,199,106.2,262,105.2,282
New Mexico,MWC,71.8,38,72.6,35,16.4,55,16.9,50,105.3,125,104.9,91,102.4,178,103.8,256
Stephen F. Austin,Slnd,71.8,39,73.7,22,16.6,65,16.2,7,104.1,152,106.3,65,97.1,75,91.8,14
Portland St.,BSky,71.8,40,71.8,50,16.6,64,17.1,81,108.8,57,107.9,40,108.8,306,106.6,304
Georgia Southern,SB,71.8,41,72.7,34,15.9,28,17.3,129,102.2,184,101.3,162,98.8,102,98,115
Santa Clara,WCC,71.6,42,72.8,32,15.4,12,17.7,212,102.6,176,101.6,157,101.3,154,99.7,155
Western Carolina,SC,71.5,43,72.3,41,16.8,95,16.5,19,107.3,83,106.6,60,106.3,263,104.9,277
Western Illinois,Sum,71.3,44,72,45,17.1,132,16.4,13,98.3,250,99,212,115,343,114.7,349
Arkansas,SEC,71.2,45,71.4,61,16.8,92,17.1,98,109.1,55,104.7,95,95.5,57,96.2,68
Rhode Island,A10,71.2,46,71.9,47,16.2,40,17.4,161,105.2,126,101.2,167,94.2,39,95,47
Saint Joseph's,A10,71.2,47,71.2,66,16.6,71,17.2,109,101.9,193,96.5,270,110.2,315,111.3,338
Sam Houston St.,Slnd,71.1,48,73.4,25,16.1,37,17.1,89,99.5,229,101.6,158,103.7,200,99.8,161
Rider,MAAC,71.1,49,71.8,52,16.7,81,17.1,82,100.9,204,100,196,102.1,171,96.6,80
Nevada,MWC,71,50,71.7,56,16.4,54,17.4,167,110.3,44,107.1,52,101,141,100.8,183
UNC Asheville,BSth,71,51,70.8,79,16.6,73,17.4,159,98.7,243,103.8,110,110.3,318,106.7,305
Loyola MD,Pat,71,52,71.2,68,16.9,104,16.8,48,100.4,213,102.2,145,109.1,309,105.4,285
Denver,Sum,70.9,53,71.5,60,16.7,75,17,79,95,303,95.3,297,106.8,274,106.6,302
Penn St.,B10,70.9,54,71.4,62,16.4,49,17.6,187,110.3,43,105,86,92.4,23,95.8,59
Long Beach St.,BW,70.9,55,71.3,64,16.7,78,17.3,145,94.2,320,92.2,333,105.3,238,105.6,288
Hampton,BSth,70.9,56,70.7,86,16.7,79,17.3,143,104.8,135,105.6,75,116.7,345,114.3,348
Pepperdine,WCC,70.8,57,71.8,51,15.8,25,17.9,258,107.2,85,104.3,104,104.4,217,105.4,286
IUPUI,Horz,70.8,58,71.2,70,16.6,68,17.3,125,99.4,231,97.7,239,115.6,344,114,347
Washington St.,P12,70.8,59,71.1,71,16.9,100,17.1,99,102.2,182,97.5,243,98,83,97.4,102
