Season,TeamName,O_eFGPct,O_RankeFGPct,O_TOPct,O_RankTOPct,O_ORPct,O_RankORPct,O_FTRate,O_RankFTRate,D_eFGPct,D_RankeFGPct,D_TOPct,D_RankTOPct,D_ORPct,D_RankORPct,D_FTRate,D_RankFTRate
2020,Gonzaga,57.5,3,15.3,12,33.6,30,38.8,43,47.6,88,18.4,196,22.7,16,21.8,7
2020,Dayton,59.7,1,18,109,26.4,225,33.9,143,46.6,53,18.7,167,26.6,115,30.9,149
2020,Creighton,55.2,6,15.9,25,23.9,295,28.8,274,48.4,122,17.6,246,30.2,280,23.4,13
2020,LSU,52.7,43,17.6,83,35.1,15,35.4,102,49.4,172,16.6,302,28.5,197,26.4,42
2020,Iowa,51.6,82,17.1,60,32,52,34.4,128,49.4,171,17.6,258,29.5,253,26.8,49
2020,Oregon,54.3,20,17.5,79,32.7,39,28.9,272,47.3,79,19.8,109,31.1,307,29.5,109
2020,BYU,58.1,2,15.5,16,20.6,344,23.4,343,49,143,18.2,206,24.1,35,27.9,65
2020,Kansas,53.7,24,18.7,166,32.6,41,35.8,89,43.7,4,18.6,178,26.4,108,23.2,12
2020,Duke,52.6,50,17.8,95,34.8,17,35.6,99,45.7,26,20.2,91,28,176,30.9,145
2020,Michigan St.,52.6,47,18.1,116,32.8,37,30.8,226,43.3,3,15.8,331,26,91,29.3,100
2020,San Diego St.,54.6,14,16.2,32,28.2,166,28.3,284,45.3,18,21.2,49,25.4,63,30.6,140
2020,Louisville,52.5,53,17.9,105,32,55,32.2,193,45.1,14,17.4,265,25,50,29,91
2020,Ohio St.,52.3,59,19.1,197,31.1,75,36.7,73,46.2,35,18.3,200,25.5,72,29.3,101
2020,Marquette,51.6,86,18.8,176,30,113,39.2,37,46.8,57,15.1,345,26,92,34.8,238
2020,Villanova,52.6,46,16,29,25.8,247,26.9,309,48.2,114,16.9,292,24.5,42,23.6,16
2020,Saint Mary's,54.1,21,14.9,6,25.2,266,30.8,229,50.8,243,17.7,242,23.6,22,28,68
2020,Baylor,49.4,188,17.8,97,35.7,8,30.8,228,45.2,15,22.7,22,29.8,261,30.8,141
2020,Maryland,48.6,217,16.7,49,31.5,66,37.7,54,46.1,34,17.3,274,26.6,116,24.2,22
2020,Mississippi St.,51.5,87,20.6,292,37,4,39.5,34,48.1,107,17.1,283,28.3,189,31.6,165
2020,Michigan,52.8,40,15.3,11,25,273,26.7,313,46.9,62,16.1,320,25.5,70,26.4,41
2020,Syracuse,50.5,128,16.5,40,29.6,121,35.7,93,48.3,116,20.3,86,32.2,331,30.2,128
2020,Houston,48,249,17.8,90,38.7,2,32.9,169,43.9,5,18.2,209,25.3,61,41.6,324
